Current Body Type,Target Body Type,Workout Plan,Diet Plan,Estimated Duration (Days)
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Carb-Focused Energy Diet, Protein 25%",84
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x","Maintenance Calories, Balanced Profile (35P/35C/30F)",39
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Calorie Deficit (~500kcal), High Carb Fuel",99
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","High Calorie Balanced Diet, Calorie Surplus",78
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","High Calorie Balanced Diet, Calorie Surplus",119
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Performance Maintenance Diet,39
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,61
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",120
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Carb-Focused Energy Diet, Protein 25%",120
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,"Maintenance Calories, Balanced Profile (25P/45C/30F)",37
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Calorie Surplus (~500kcal), High Fat (35%)",76
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,149
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Weight Gain Focus: High Fat (45%), Large Calorie Surplus",118
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Weight Gain Diet, Balanced Macros",72
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Balanced Macronutrient Diet,89
Mesomorph,Ectomorph,Cardio Focus 5x/week,"High Carb, Low Protein, Calorie Deficit",78
